																		
Tissue  		Hydrogen	Carbon	Nitrogen	Oxygen	Sodium	Magnesium	Silicon	Phosphor	Sulfur	Chlorine	Argon	Potassium	Calcium 	Scandium	Iron 	Zinc	Iodine
Name																		
Adrenal Gland	Average	0.629844266	0.1416159	0.011117305	0.216364566				0.000193361	0.00037356	0.000337862		0.000153181					
 	Standard Deviation 	0	0	0	0				0	0	0		0					
 	Minimum	0.629844266	0.1416159	0.011117305	0.216364566				0.000193361	0.00037356	0.000337862		0.000153181					
 	Maximum	0.629844266	0.1416159	0.011117305	0.216364566				0.000193361	0.00037356	0.000337862		0.000153181					
Air	Average	0	0.00015	0.784431	0.210748							0.004671						
 	Standard Deviation 	0	0	0	0							0						
 	Minimum	0	0.00015	0.784431	0.210748							0.004671						
 	Maximum	0	0.00015	0.784431	0.210748							0.004671						
Bile	Average	0.653495725	0.030975276	0.00043543	0.313344299	0.001061156					0.000688114							
 	Standard Deviation 	0	0.1416159	0	0	0					0							
 	Minimum	0.653495725	0.030975276	0.00043543	0.313344299	0.001061156					0.000688114							
 	Maximum	0.653495725	0.030975276	0.00043543	0.313344299	0.001061156					0.000688114							
Blood	Average	0.599443383	0.102978414	0.013215545	0.278835104	0.000373329	4.98E-06	3.49E-06	0.000125765	0.00197772	0.002687521		0.00027373	4.48E-06		7.60E-05	4.98E-07	
 	Standard Deviation 	0.046466753	0.072242498	3.06E-05	0.02565289	0.000184182	0	0	7.81E-05	0.002311787	0.003142596		1.81E-05	0		3.44E-05	0	
 	Minimum	0.568890087	0.052291	0.013244665	0.261767335	0.000244528	0.00001	0.000007	0.000071	0.00035064	0.000475698		0.000262	0.000009		0.000052	0.000001	
 	Maximum	0.634604	0.15445732	0.013288	0.298046	0.000505	0.00001	0.000007	0.000181497	0.00362	0.00492		0.000287564	0.000009		0.000100665	0.000001	
Bone	Average	0.433852878	0.135997538	0.032643135	0.299529614	0.000252944	0.000937516		0.036527707	0.001042566				0.059215102			1.00E-06	
 	Standard Deviation 	0.058744935	0.019930023	0.003155001	0.023588611	0	2.76E-05		0.003036981	6.44E-05				0.008595189			1.41E-06	
 	Minimum	0.392311116	0.121904	0.030412	0.282848	0.000505885	0.000918		0.03438	0.000997				0.053137			0	
 	Maximum	0.475389	0.150089308	0.034873846	0.316207334	0.000505885	0.000957019		0.03867494	0.001088119				0.065292433			0.000002	
Bone (Cancellous)	Average	0.577227993	0.230237565	0.013683127	0.157009347	0.000297734	0.000281623		0.0075136	0.000426935	0.000386136		0.000175067	0.012638305		0.000122568		
 	Standard Deviation 	0	0.1416159	0	0	0	0		0	0	0		0	0		0		
 	Minimum	0.577227993	0.230237565	0.013683127	0.157009347	0.000297734	0.000281623		0.0075136	0.000426935	0.000386136		0.000175067	0.012638305		0.000122568		
 	Maximum	0.577227993	0.230237565	0.013683127	0.157009347	0.000297734	0.000281623		0.0075136	0.000426935	0.000386136		0.000175067	0.012638305		0.000122568		
Bone (Cortical)	Average	0.433852878	0.135997538	0.032643135	0.299529614	0.000252944	0.000937516		0.036527707	0.001042566				0.059215102			1.00E-06	
 	Standard Deviation 	0.058744935	0.019930023	0.003155001	0.023588611	0	2.76E-05		0.003036981	6.44E-05				0.008595189			1.41E-06	
 	Minimum	0.392311116	0.121904	0.030412	0.282848	0.000505885	0.000918		0.03438	0.000997				0.053137			0	
 	Maximum	0.475389	0.150089308	0.034873846	0.316207334	0.000505885	0.000957019		0.03867494	0.001088119				0.065292433			0.000002	
Bone Marrow (Red)	Average	0.606871406	0.200804795	0.014141164	0.159846408		0.000239688		0.006394801	0.000363363	0.000328639		0.000148999	0.01075642		0.000104318		
 	Standard Deviation 	0	0	0	0		0		0	0	0		0	0		0		
 	Minimum	0.606871406	0.200804795	0.014141164	0.159846408		0.000239688		0.006394801	0.000363363	0.000328639		0.000148999	0.01075642		0.000104318		
 	Maximum	0.606871406	0.200804795	0.014141164	0.159846408		0.000239688		0.006394801	0.000363363	0.000328639		0.000148999	0.01075642		0.000104318		
Bone Marrow (Yellow)	Average	0.624324604	0.293403195	0.002734699	0.079005181	0.00023802					0.000154346		0.000139955					
 	Standard Deviation 	0	0	0	0	0					0		0					
 	Minimum	0.624324604	0.293403195	0.002734699	0.079005181	0.00023802					0.000154346		0.000139955					
 	Maximum	0.624324604	0.293403195	0.002734699	0.079005181	0.00023802					0.000154346		0.000139955					
Brain	Average	0.654712	0.062268	0.005654	0.274952	0.000477	0.000037		0.000682	0.000329	0.000397		0.000473	0.000013		0.000005	0.000001	
 	Standard Deviation 	0	0	0	0	0	0		0	0	0		0	0		0	7.07E-07	
 	Minimum	0.654712	0.062268	0.005654	0.274952	0.000477	0.000037		0.000682	0.000329	0.000397		0.000473	0.000013		0.000005	0.000001	
 	Maximum	0.654712	0.062268	0.005654	0.274952	0.000477	0.000037		0.000682	0.000329	0.000397		0.000473	0.000013		0.000005	0.000001	
Brain (Grey Matter)	Average	0.648490883	0.048318124	0.007850394	0.292850821	0.000531435			0.000591673	0.000381025	0.00051692		0.000468725					
 	Standard Deviation 	0	0	0	0	0			0	0	0		0					
 	Minimum	0.648490883	0.048318124	0.007850394	0.292850821	0.000531435			0.000591673	0.000381025	0.00051692		0.000468725					
 	Maximum	0.648490883	0.048318124	0.007850394	0.292850821	0.000531435			0.000591673	0.000381025	0.00051692		0.000468725					
Brain (White Matter)	Average	0.637920219	0.097978005	0.010826781	0.250606855	0.000527704			0.00078336	0.00037835	0.000513291		0.000465434					
 	Standard Deviation 	0	0	0	0	0			0	0	0		0					
 	Minimum	0.637920219	0.097978005	0.010826781	0.250606855	0.000527704			0.00078336	0.00037835	0.000513291		0.000465434					
 	Maximum	0.637920219	0.097978005	0.010826781	0.250606855	0.000527704			0.00078336	0.00037835	0.000513291		0.000465434					
Breast Fat	Average	0.49970225	0.366640376	0.003015783	0.129464186	0.000180688			0.0005	0.000129548	0.000117168			0.00025				
 	Standard Deviation 	0.253144987	0.184083251	0.003470394	0.070534002	5.26E-06			0	3.77E-06	3.41E-06			0				
 	Minimum	0.12	0.243816217	0.000525712	0.067109586	0.000235879			0.002	0.000169119	0.000152957			0.001				
 	Maximum	0.629395608	0.64	0.008	0.229	0.00024638			0.002	0.000176648	0.000159767			0.001				
Breast Gland	Average	0.625235302	0.163078944	0.012833357	0.197904996	0.000259435			0.000192502	0.000327219	0.000168245							
 	Standard Deviation 	0.003886225	0.065224314	0.002865668	0.058440876	8.66E-06			6.43E-06	9.93E-05	5.61E-06							
 	Minimum	0.619992887	0.081816418	0.009414275	0.12828451	0.000249379			0.000185098	0.000178798	0.000161712							
 	Maximum	0.629386153	0.24153334	0.016429244	0.271333501	0.000270531			0.000200797	0.000387927	0.000175428							
Bronchi lumen	Average		0.00015	0.784431	0.210748							0.004671						
 	Standard Deviation 		0	0	0							0						
 	Minimum		0.00015	0.784431	0.210748							0.004671						
 	Maximum		0.00015	0.784431	0.210748							0.004671						
Cartilage	Average	0.623111416	0.05392573	0.010275809	0.304227448	0.001422868			0.004646842	0.001836286	0.000553602							
 	Standard Deviation 	0	0.1416159	0	0	0			0	0	0							
 	Minimum	0.623111416	0.05392573	0.010275809	0.304227448	0.001422868			0.004646842	0.001836286	0.000553602							
 	Maximum	0.623111416	0.05392573	0.010275809	0.304227448	0.001422868			0.004646842	0.001836286	0.000553602							
Cerebellum	Average	0.654712	0.062268	0.005654	0.274952	0.000477	0.000037		0.000682	0.000329	0.000397		0.000473	0.000013		0.000005	0.000001	
 	Standard Deviation 	0	0	0	0	0	0		0	0	0		0	0		0	7.07E-07	
