																																																																																																																	
Air Density [kg/m3]							Air Heat Capacity [J/(kg*K)]							Air Thermal Conductivity [W/(m*K))]							Air Dynamic Viscosity [Pa*s]							Water Dynamic Viscosity [Pa*s]							Blood Dynamic Viscosity [Pa*s]							Urine Dynamic Viscosity [Pa*s]							Cerebrospinal Fluid Dynamic Viscosity [Pa*s]							Lymph  Dynamic Viscosity [Pa*s]							Vitreous Humor Dynamic Viscosity [Pa*s]							Blood Plasma Dynamic Viscosity [Pa*s]							Blood Serum Dynamic Viscosity [Pa*s]							Other Densities				Dielectric Properties of Urine														Heat Capacity (J/kg/°C)						Thermal Conductivity (W/m/°C)					
Fit	"y= 311.26*power(x,-0.9796)"													Fit	"y= 0.000200*POWR(x,0.853437)"						Fit	"y=-0.000000000030038*POWER(x,2)+0.000000067245*x+0.00000098622"						Fit	"y=0.000000000032276*POWER(x,4)-0.000000044266*POWER(x,3)+0.000022804*POWER(x,2)-0.0052358*x+0.452928"																																																																																				
T(°C)	T(K)	av	sd	n	min	max	T(°C)	T(K)	av	sd	n	min	max	T(°C)	T(K)	av	sd	n	min	max	T(°C)	T(K)	av	sd	n	min	max	T(°C)	T(K)	av	sd	n	min	max	T(°C)	T(K)	av	sd	n	min	max	T(°C)	T(K)	av	sd	n	min	max	T(°C)	T(K)	av	sd	n	min	max	T(°C)	T(K)	av	sd	n	min	max	T(°C)	T(K)	av	sd	n	min	max	T(°C)	T(K)	av	sd	n	min	max	T(°C)	T(K)	av	sd	n	min	max	Lymph	Urine	Blood Plasma	Blood Serum	ef	del1	tau1 (ps)	alf1	del2	tau2 (ns)	alf2	sig	del3	tau3 (µs)	alf3	del4	tau4 (ms)	alf4	Fluid	av	sd	n	min	max	Fluid	av	sd	n	min	max
-150	123.15	2.793	0	1	2.793	2.793	-150	123.15	1026	0	1	1026	1026	-150	123.15	0.0116	0	1	0.0116	0.0116	-153.15	120	0.000008445	0	1	0.000008445	0.000008445	0	273.15	0.001790133	2.71539E-06	3	0.001787	0.0017918	4	277.15	0.03345	0.0072832	2	0.0283	0.0386	20	293.15	0.010325328	0	1	0.010325328	0.010325328	37	310.15	0.000783571	7.38644E-05	7	0.00065	0.00088	37	310.15	0.0018	0	1	0.0018	0.0018	37	310.15	1057	0	1	1057	1057	37	310.15	0.0013175	2.62996E-05	4	0.00128	0.00134	37	310.15	0.00122	0	1	0.00122	0.00122	1019	1012.226409	1020.05	1024	3	65.5	6.93	1	28.4	1.78	1	1.75	0	159.155	0	0	15.915	0	Blood Plasma	3930	0	1	3930	3930	Blood Plasme	0.582	0	1	0.582	0.582
-100	173.15	1.98	0	1	1.98	1.98	-100	173.15	1009	0	1	1009	1009	-100	173.15	0.016	0	1	0.016	0.016	-150	123.15	0.0000086	0	1	0.0000086	0.0000086	5	278.15	0.0015191	1.41421E-07	2	0.001519	0.0015192	22	295.15	0.01175	0	1	0.01175	0.01175	37	310.15	0.008016077	0	1	0.008016077	0.008016077																																																						Urine	4178	0	1	4178	4178	Urine	0.56	0	1	0.56	0.56
-50	223.15	1.534	0	1	1.534	1.534	-50	223.15	1005	0	1	1005	1005	-93.15	180	0.01667	0	1	0.01667	0.01667	-133.15	140	0.000009729	0	1	0.000009729	0.000009729	10	283.15	0.0013066	6.08276E-07	3	0.0013059	0.001307	27	300.15	0.0069	0	1	0.0069	0.0069	42	315.15	0.006783364	0	1	0.006783364	0.006783364																																																						Water	4178	0	1	4178	4178	Water	0.6045	0.006363961	2	0.6	0.609
-20	253.15	1.3769	0	1	1.3769	1.3769	0	273.15	1005	0	1	1005	1005	-73.15	200	0.01836	0	1	0.01836	0.01836	-113.15	160	0.00001097	0	1	0.00001097	0.00001097	15	288.15	0.0011382	0	1	0.0011382	0.0011382	32	305.15	0.005425	0	1	0.005425	0.005425																																																																								
-10	263.15	1.3246	0	1	1.3246	1.3246	20	293.15	1005	0	1	1005	1005	-50	223.15	0.0204	0	1	0.0204	0.0204	-100	173.15	0.00001178	0	1	0.00001178	0.00001178	20	293.15	0.001001867	2.3094E-07	3	0.0010016	0.001002	37	310.15	0.00364875	0.000772074	8	0.0021	0.00453																																																																								
0	273.15	1.28455	0.011950105	2	1.2761	1.293	40	313.15	1005	0	1	1005	1005	-23.15	250	0.02241	0	1	0.02241	0.02241	-93.15	180	0.00001217	0	1	0.00001217	0.00001217	25	298.15	0.00089015	2.12132E-07	2	0.00089	0.0008903																																																																															
10	283.15	1.231	0	1	1.231	1.231	60	333.15	1009	0	1	1009	1009	-20	253.15	0.0228	0	1	0.0228	0.0228	-73.15	200	0.00001332	0	1	0.00001332	0.00001332	30	303.15	0.000797567	4.04145E-07	3	0.0007972	0.000798																																																																															
20	293.15	1.197	0.011313708	2	1.189	1.205	80	353.15	1009	0	1	1009	1009	-10	263.15	0.0236	0	1	0.0236	0.0236	-50	223.15	0.00001465	0	1	0.00001465	0.00001465	35	308.15	0.0007195	0	1	0.0007195	0.0007195																																																																															
30	303.15	1.1498	0	1	1.1498	1.1498	100	373.15	1009	0	1	1009	1009	0	273.15	0.0243	0	2	0.0243	0.0243	-23.15	250	0.00001604	0	1	0.00001604	0.00001604	40	313.15	0.000652967	2.51661E-07	3	0.0006527	0.0006532																																																																															
37	310.15	1.128183106	0	1	1.128183106	1.128183106	120	393.15	1013	0	1	1013	1013	10	283.15	0.025	0	1	0.025	0.025	-20	253.15	1.6150E-05	0	1	0.00001615	0.00001615	45	318.15	0.0005963	0	1	0.0005963	0.0005963																																																																															
