																																																																																																
	Tissue  	Density (kg/m3)					Heat Capacity (J/kg/°C)					Thermal Conductivity (W/m/°C)					Heat Transfer Rate (ml/min/kg)					Heat Generation Rate (W/kg)					Dielectric Properties														Semcad		LF Conductivity 					Anisotropic LF Conductivity across					Anisotropic LF Conductivity along					Anisotropic LF Conductivity normal to surface					Magnetic Parameters	Magnetic Permittivity	Tissue Speed of Sound [m/s]					Tissue Dependent Parameter of the Non Linearity Prameter B/A					Attenuation Constant		1.5T- T1 [ms]					1.5T- T2 [ms]					3.0T- T1 [ms]					3.0T- T2 [ms]				
	Name	Average	Standard Deviation	Sample Size	Minimum	Maximum	Average	Standard Deviation	Number of Studies	Minimum	Maximum	Average	Standard Deviation	Number of Studies	Minimum	Maximum	Average	Standard Deviation	Number of Studies	Minimum	Maximum	Average	Standard Deviation	Number of Studies	Minimum	Maximum	ef	del1	tau1 (ps)	alf1	del2	tau2 (ns)	alf2	sig	del3	tau3 (µs)	alf3	del4	tau4 (ms)	alf4	Alternative Names	source	av	sd	n	min 	max	av	sd	n	min 	max	av	sd	n	min 	max	av	sd	n	min 	max	Magnetic Conductivity [S/m]	Relative Permeability	av	sd	n	min 	max	av	sd	n	min 	max	?0 [Np/m/MHz]	b	av	sd	n	min 	max	av	sd	n	min 	max	av	sd	n	min 	max	av	sd	n	min 	max
	Adrenal Gland	1027.5	4.167083312	3	1025	1030	3512.5	123.7436867	2	3425	3600	0.44325	0.069230894	4	0.363	0.53	1457.755102	764.1979732	7	478.5714286	2775.714286	22.57609758	1.18350524	7	7.411584605	42.98719071	3	48.2	7.06	0.18	52.1	1.95	0	0.62	0	159.155	0.2	0	15.915	0	"Gland_Lacrimal@Glands@adrenals@Adrenal Gland@Baby_Adrenal_gland@Adrenal_gland@Gland@Gland, Lacrimal@Adrenal Glands@Glands_Lacrimal@Adrenal_gland_left@Adrenal_gland_right"	Adrenal Gland	0.4811	0	1	0.4811	0.4811																0	1	1500		-1	1500	1500			0			15.492	1			0					0					0					0		
	Air	1.164091553	0.050782213	2	1.128183106	1.2	1003.666667	3.214550254	3	1000	1006	0.027381779	0.001782217	4	0.026	0.03	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"Ear_Auditory_Canal@Enthemoidal_Cells_Bone@Air_internal@Ethmoidal Cells (Cavity)@Frontal Sinus (Air)@Mastoid Cells (Cavity)@Maxillary Sinus (Air)@Nasal Cavity (Air)@Sphenoid Sinus (Air)@Ear, Auditory Canal@Air (Head)@Air Internal - Ethmoidal Sinus@Air Internal - Frontal Sinus@Air Internal - Maxillary Sinus@Air Internal - Sphenoidal Sinus@Air Internal - Mastoid@Air Internal - Nasal/Pharynx@Air Internal - Nasal_Pharynx@Air Internal - Oral Cavity@Ear - Auditory Canal@Ear Auditory Canal@Ear - Pharyngotympanic Tube@Ear Pharyngotympanic Tube@Air_sac to Air_internat@Air_abdominal@Air_ears@Air_mouth@Air_neck@Air_nose_sinuses@Intestine_gas"	Air	0		1	0	0																0	1	343	0	1	343	343			0			0.039143947	2			0					0					0					0		
	Bile	928	99	5	928	928	4037	193.747258	2	3900	4174	0.58325	0.047022601	2	0.55	0.6165	0	0	1	0	0	0	0	1	0	0	4	66	7.579	0.05	50	1.592	0	1.4	0	159.155	0.2	0	15.915	0.2	Gallbladder@Fetus_gallbladder@Baby_Gallbladder@Bile@GallBladderBile@Gallbladder_bile@gallbladder_bile	Bile	1.461900145		4	1.096661742	1.666666667																0	1	1500		-1	1500	1500	6	0	1	6	6	0.255	1.31			0					0					0					0		
	Blood	1049.75	19.17463602	584	1025	1060	3617	301.4415366	3	3300	3900	0.516857143	0.02545865	7	0.488	0.561	10000	0	1	10000	10000	0	0	1	0	0	4	56	8.377	0.1	5200	132.629	0.1	0.7	0	159.155	0.2	0	15.915	0	Blood_vessels@Blood_vessel@Vein@Aorta@Fetus_umbilicul_cord@Artery@Greater Blood Vessels@Lesser Blood Vessels@Plexus Venosus Prostaticus@Blood Vessels@Heart (Blood)@Blood Vessels (Head)@Blood Vessels (Tail)@Blood - Arteries@Blood - Veins@Blood Arteries@Blood Veins@Arteries_brain@Veins_brain@Veins_opthalmic@Blood_vessels_body@Blood_Vessles_(Circle_of_Willis)_@Veins_of_brain	Blood	0.662459736	0.107254247	33	0.433087917	0.945572828																0	1	1578.183333	11.27297654	9	1559.2	1590	6.1125	0.131497782	4	6	6.3	2.3676	1.0498	1414.806452	103.5999258	6	1200	1547.5	171.5934211	67.25615432	6	108.95	327	1953.571429	188.4392359	8	1355	2085.5	275	0	1	275	275
	Blood Plasma	1020.05	1.075	6	1020.05	1020.05	3930	0	1	3930	3930	0.582	0	1	0.582	0.582			0					0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	None	1.412291412	0.213897979	1	1.111111111	1.587301587																0	1	1549.35	1.343502884	2	1548.4	1550.3	5.74	0	1	5.74	5.74	1.075	1.1596			0					0					0					0		
	Blood Serum	1024	0	1	1024	1024			0					0					0					0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	None 	None	1.176485653	0.357926336	1	0.724637681	1.6																0	1	1500		-1	1500	1500			0			0	0			0					0					0					0		
	Blood Vessel Wall	1101.5	53.28128971	22	1056	1147	3306	158.1486642	3	3171	3480	0.462	0.016370706	3	0.444	0.476	150	0	1	150	150	2.323033981	0	1	2.323033981	2.323033981	4	40	8.842	0.1	50	3.183	0.1	0.25	100000	159.155	0.2	10000000	1.592	0	Blood_vessel_wall@Choroid_plexus_left@Choroid_plexus_right	Blood Vessel Wall	0.231971605	0.013599884	1	0.231971605	0.231971605																0	1	1569.142857	5.756983337	7	1559	1575			0			7.02	1			0			36.4	0	1	36.4	36.4	968.3333333	186.5	2	844	1217	43.16666667	6.25	2	39	51.5
	Bone (Cancellous)	1178.333333	196.9162258	16	1080	1350	2274	234.0854545	3	2060	2524	0.3125	0.032015621	4	0.29	0.36	30	20	3	10	50	0.464606796	0.030973786	3	0.154868932	0.77434466	2.5	18	13.263	0.22	300	79.577	0.25	0.07	20000	159.155	0.2	20000000	15.915	0	"Bone(Cancellous)@Ulna_cancellous_left@Ulna_cancellous_right@Radius_cancellous_left@Radius_cancellous_right@Humerus_cancellous_left@Humerus_cancellous_right@Tibia_cancellous_left@Tibia_cancellous_right@Fibula_cancellous_left@Fibula_cancellous_right@Femur_cancellous_left@Femur_cancellous_right@Calcaneus_cancellous_left@Calcaneus_cancellous_right@Talus_cancellous_left@Talus_cancellous_right@Lunatum_cancellous_left@Lunatum_cancellous_right@Scaphoideum_cancellous_left@Scaphoideum_cancellous_right@Triquetrum_cancellous_left@Triquetrum_cancellous_right@Pisiforme_cancellous_left@Pisiforme_cancellous_right@Capitatum_cancellous_left@Capitatum_cancellous_right@Hamatum_cancellous_left@Hamatum_cancellous_right@Trapezium_cancellous_left@Trapezium_cancellous_right@Trapezoideum_cancellous_left@Trapezoideum_cancellous_right@Metacarpus_I_cancellous_left@Metacarpus_I_cancellous_right@Metacarpus_II_cancellous_left@Metacarpus_II_cancellous_right@Metacarpus_III_cancellous_left@Metacarpus_III_cancellous_right@Metacarpus_IV_cancellous_left@Metacarpus_IV_cancellous_right@Metacarpus_V_cancellous_left@Metacarpus_V_cancellous_right@Phalanx_proximalis_I_cancellous_left@Phalanx_proximalis_I_cancellous_right@Phalanx_proximalis_II_cancellous_left@Phalanx_proximalis_II_cancellous_right@Phalanx_proximalis_III_cancellous_left@Phalanx_proximalis_III_cancellous_right@Phalanx_proximalis_IV_cancellous_left@Phalanx_proximalis_IV_cancellous_right@Phalanx_proximalis_V_cancellous_left@Phalanx_proximalis_V_cancellous_right@Phalanx_media_II_cancellous_left@Phalanx_media_II_cancellous_right@Phalanx_media_III_cancellous_left@Phalanx_media_III_cancellous_right@Phalanx_media_IV_cancellous_left@Phalanx_media_IV_cancellous_right@Phalanx_media_V_cancellous_left@Phalanx_media_V_cancellous_right@Phalanx_distalis_I_cancellous_left@Phalanx_distalis_I_cancellous_right@Phalanx_distalis_II_cancellous_left@Phalanx_distalis_II_cancellous_right@Phalanx_distalis_III_cancellous_left@Phalanx_distalis_III_cancellous_right@Phalanx_distalis_IV_cancellous_left@Phalanx_distalis_IV_cancellous_right@Phalanx_distalis_V_cancellous_left@Phalanx_distalis_V_cancellous_right@Skull_cancellous@Mandible_cancellous@skull_cancellous@mandible_cancellous@Foot_cancellous_left@Foot_cancellous_right@foot_cancellous_left@foot_cancellous_right@Cancellous_bone@cancellous_bone@Sternum_cancellous@Clavicle_cancellous@Rib_cancellous@Hyoid_cancellous@Scapula_cancellous@Pelvis_cancellous@Vertebra_cancellous_C1@Vertebra_cancellous_C2@Vertebra_cancellous_C3@Vertebra_cancellous_C4@Vertebra_cancellous_C5@Vertebra_cancellous_C6@Vertebra_cancellous_C7@Vertebra_cancellous_T1@Vertebra_cancellous_T2@Vertebra_cancellous_T3@Vertebra_cancellous_T4@Vertebra_cancellous_T5@Vertebra_cancellous_T6@Vertebra_cancellous_T7@Vertebra_cancellous_T8@Vertebra_cancellous_T9@Vertebra_cancellous_T10@Vertebra_cancellous_T11@Vertebra_cancellous_T12@Vertebra_cancellous_L1@Vertebra_cancellous_L2@Vertebra_cancellous_L3@Vertebra_cancellous_L4@Vertebra_cancellous_L5@Vertebra_cancellous_os_sacrum_coccyx@Patella_cancellous_right@Patella_cancellous_left@Skull Diploe@Skull - Diploe@Metatarsus_I_cancellous_right@Metatarsus_I_cancellous_left@Metatarsus_II_cancellous_right@Metatarsus_II_cancellous_left@Metatarsus_III_cancellous_right@Metatarsus_III_cancellous_left@Metatarsus_IV_cancellous_right@Metatarsus_IV_cancellous_left@Metatarsus_V_cancellous_right@Metatarsus_V_cancellous_left@Phalanx_proximalis_I_cancellous_foot_left@Phalanx_proximalis_I_cancellous_foot_right@Phalanx_proximalis_II_cancellous_foot_left@Phalanx_proximalis_II_cancellous_foot_right@Phalanx_proximalis_III_cancellous_foot_left@Phalanx_proximalis_III_cancellous_foot_right@Phalanx_proximalis_IV_cancellous_foot_left@Phalanx_proximalis_IV_cancellous_foot_right@Phalanx_proximalis_V_cancellous_foot_left@Phalanx_proximalis_V_cancellous_foot_right@Phalanx_media_II_cancellous_foot_left@Phalanx_media_II_cancellous_foot_right@Phalanx_media_III_cancellous_foot_left@Phalanx_media_III_cancellous_foot_right@Phalanx_media_IV_cancellous_foot_left@Phalanx_media_IV_cancellous_foot_right@Phalanx_media_V_cancellous_foot_left@Phalanx_media_V_cancellous_foot_right@Phalanx_distalis_I_cancellous_foot_left@Phalanx_distalis_I_cancellous_foot_right@Phalanx_distalis_II_cancellous_foot_left@Phalanx_distalis_II_cancellous_foot_right@Phalanx_distalis_III_cancellous_foot_left@Phalanx_distalis_III_cancellous_foot_right@Phalanx_distalis_IV_cancellous_foot_left@Phalanx_distalis_IV_cancellous_foot_right@Phalanx_distalis_V_cancellous_foot_left@Phalanx_distalis_V_cancellous_foot_right@Thorax_cancellous@Carpalia_Metacarpalia_cancellous_left@Carpalia_Metacarpalia_cancellous_right@Vertebra_cancellous_L6@Vertebra_cancellous_L7@Vertebra_cancellous_tail_1@Vertebra_cancellous_tail_2@Vertebra_cancellous_tail_3@Vertebra_cancellous_tail_4@Vertebra_cancellous_tail_5@Vertebra_cancellous_tail_6@Vertebra_cancellous_tail_7@Vertebra_cancellous_tail_8@Vertebra_cancellous_tail_9@Vertebra_cancellous_tail_10@Vertebra_cancellous_tail_11@Vertebra_cancellous_tail_12@Vertebra_cancellous_tail_13@Vertebra_cancellous_tail_14@Vertebra_cancellous_tail_15@Vertebra_cancellous_tail_16@Carpal_bones_cancellous_left@Carpal_bones_cancellous_right@Clavicle_cancellous_left@Metacarpal_bones_cancellous_right@Metatarsal_bones_cancellous_left@Rib_1_cancellous_right@Rib_2_cancellous_left@Rib_2_cancellous_right@Rib_3_cancellous_left@Rib_3_cancellous_right@Rib_4_cancellous_left@Rib_4_cancellous_right@Rib_5_cancellous_left@Rib_5_cancellous_right@Rib_6_cancellous_left@Rib_6_cancellous_right@Rib_7_cancellous_left@Rib_7_cancellous_right@Rib_8_cancellous_left@Rib_8_cancellous_right@Rib_9_cancellous_left@Rib_9_cancellous_right@Rib_10_cancellous_left@Rib_10_cancellous_right@Rib_11_cancellous_left@Rib_11_cancellous_right@Rib_12_cancellous_left@Rib_12_cancellous_right@Sacrum_cancellous@Scapula_cancellous_left@Scapula_cancellous_right@Tarsal_bones_cancellous_left@Tarsal_bones_cancellous_right@Vertebrae_cancellous@Foot_back_cancellous_left@Foot_back_cancellous_right@Foot_front_cancellous_left@Foot_front_cancellous_right@Vertebrae_cancellous_caudal_1@Vertebrae_cancellous_caudal_2@Vertebrae_cancellous_caudal_3@Vertebrae_cancellous_cervical@Vertebrae_cancellous_lumbar_sacral@Vertebrae_cancellous_thoracic
"	Bone (Cancellous)	0.080459528	0.094180264	5	0.006	0.2																0	1	2117.533333	288.6591223	5	1854.666667	2450			0			47	1.2			0					0					0					0		
	Bone (Cortical)	1908	166.0051634	27	1800	2100	1312.833333	294.7028447	6	826	1650	0.32	0.034641016	3	0.3	0.36	10	0	1	10	10	0.154868932	0	1	0.154868932	0.154868932	2.5	10	13.263	0.2	180	79.577	0.2	0.02	5000	159.155	0.2	100000	15.915	0	CorticalBone@Bone(Cortical)@filling material@filling_material@Foot_cortical_left@foot_cortical_left@Foot_cortical_right@foot_cortical_right@Cortical_bone@Mandible_cortical @cortical_bone@Sternum_cortical@Clavicle_cortical@Rib_cortical@Scapula_cortical@Pelvis_cortical@Patella_cortical_right@Patella_cortical_left@Hyoid_cortical@Bone @Patella@Ulna_left@Ulna_cortical_left@Ulna_right@Ulna_cortical_right@Radius_left@Radius_cortical_left@Radius_right@Radius_cortical_right@Humerus_left@Humerus_cortical_left@Humerus_right@Humerus_cortical_right@Tibia_left@Tibia_cortical_left@Tibia_right@Tibia_cortical_right@Fibula_left@Fibula_cortical_left@Fibula_cortical_right@Fibula_right@Femur_left@Femur_right@Femur_cortical_left@Femur_cortical_right@Metacarpus_I_left@Metacarpus_I_right@proximalis_I_left@proximalis_I_right@proximalis_II_left@proximalis_II_right@proximalis_III_left@proximalis_III_right@proximalis_IV_left@proximalis_IV_right@proximalis_V_left@proximalis_V_right@media_I_left@media_I_right@media_II_left@media_II_right@media_III_left@media_III_right@media_IV_left@media_IV_right@media_V_left@media_V_right@distalis_I_left@distalis_I_right@distalis_II_left@distalis_II_right@distalis_III_left@distalis_III_right@distalis_IV_left@distalis_IV_right@distalis_V_left@distalis_V_right@Foot_left@Foot_right@Carpalia_left@Carpalia_right@Calcaneus_left@Calcaneus_right@Calcaneus_cortical_left@Calcaneus_cortical_right@Talus_left@Talus_right@Talus_cortical_left@Talus_cortical_right@Fetus_bone@Bones@Paw_1@Paw_2@Nails@Pfote_1@Pfote_2@Ullna_1@Ullna_2@Humerus_1@Humerus_2@Femur_1@Femur_2@Femus_2@Tibia_1@Tibia_2@Tail@Tailbone@Paw_front_right@Paw_front_left@Paw_back_right@Paw_back_left@skeleton@Baby_Bone@Phalanx distalis_V_right@Phalanx distalis_V_left@Phalanx_distalis_V_cortical_left@Phalanx_distalis_V_cortical_right@Phalanx distalis_IV_right@Phalanx distalis_IV_left@Phalanx_distalis_IV_cortical_left@Phalanx_distalis_IV_cortical_right@Phalanx distalis_III_right@Phalanx distalis_III_left@Phalanx_distalis_III_cortical_left@Phalanx_distalis_III_cortical_right@Phalanx distalis_II_right@Phalanx distalis_II_left@Phalanx_distalis_II_cortical_left@Phalanx_distalis_II_cortical_right@Phalanx distalis_I_right@Phalanx distalis_I_left@Phalanx_distalis_I_cortical_left@Phalanx_distalis_I_cortical_right@Phalanx media_V_right@Phalanx media_V_left@Phalanx media_IV_right@Phalanx media_IV_left@Phalanx media_III_right@Phalanx media_III_left@Phalanx media_II_right@Phalanx media_II_left@Phalanx proximalis_V_right@Phalanx proximalis_V_left@Phalanx proximalis_IV_right@Phalanx proximalis_IV_left@Phalanx proximalis_III_right@Phalanx proximalis_III_left@Phalanx_proximalis_III_cortical_left@Phalanx_proximalis_III_cortical_right@Phalanx_proximalis_II_left@Phalanx_proximalis_II_cortical_left@Phalanx_proximalis_II_cortical_right@Phalanx proximalis_I_right@Phalanx proximalis_I_left@Phalanx_proximalis_I_cortical_left@Phalanx_proximalis_I_cortical_right@Metacarpus_V_right@Metacarpus_V_left@Metacarpus_V_cortical_left@Metacarpus_V_cortical_right@Metacarpus_IV_right@Metacarpus_IV_left@Metacarpus_IV_cortical_left@Metacarpus_IV_cortical_right@Metacarpus_III_right@Metacarpus_III_left@Metacarpus_III_cortical_left@Metacarpus_III_cortical_right@Metacarpus_II_right@Metacarpus_II_left@Metacarpus_II_cortical_left@Metacarpus_II_cortical_right@Metacarpus_I_cortical_left@Metacarpus_I_cortical_right@Trapezoideum_right@Trapezoideum_left@Trapezoideum_cortical_left@Trapezoideum_cortical_right@Trapezium_right@Trapezium_left@Trapezium_cortical_left@Trapezium_cortical_right@Hamatum_right@Hamatum_left@Hamatum_cortical_left@Hamatum_cortical_right@Capitatum_right@Capitatum_left@Capitatum_cortical_left@Capitatum_cortical_right@Pisiforme_right@Pisiforme_left@Pisiforme_cortical_left@Pisiforme_cortical_right@Triquetrum_right@Triquetrum_left@Triquetrum_cortical_left@Triquetrum_cortical_right@Scaphoideum_right@Scaphoideum_left@Scaphoideum_cortical_left@Scaphoideum_cortical_right@Lunatum_right@Lunatum_left@Lunatum_cortical_left@Lunatum_cortical_right@hand_right@hand_left@Phalanx_distalis_II_left@Phalanx_distalis_I_right@Phalanx_distalis_I_left@Phalanx_media_V_right@Phalanx_media_V_left@Phalanx_media_V_cortical_left@Phalanx_media_V_cortical_right@Phalanx_media_IV_right@Phalanx_media_IV_left@Phalanx_media_IV_cortical_left@Phalanx_media_IV_cortical_right@Phalanx_media_III_right@Phalanx_media_II_right@Phalanx_media_III_left@Phalanx_media_III_cortical_left@Phalanx_media_III_cortical_right@Phalanx_media_II_left@Phalanx_media_II_cortical_left@Phalanx_media_II_cortical_right@Phalanx_proximalis_V_right@Phalanx_proximalis_V_left@Phalanx_proximalis_V_cortical_left@Phalanx_proximalis_V_cortical_right@Phalanx_proximalis_IV_right@Phalanx_proximalis_IV_left@Phalanx_proximalis_IV_cortical_left@Phalanx_proximalis_IV_cortical_right@Phalanx_proximalis_III_right@Phalanx_proximalis_III_left@Phalanx_proximalis_II_right@Phalanx_proximalis_I_right@Phalanx_distalis_V_right@Phalanx_proximalis_I_left@Phalanx_distalis_V_left@Phalanx_distalis_IV_right@Phalanx_distalis_III_right@Phalanx_distalis_III_left@Phalanx_distalis_II_right@Phalanx_distalis_IV_left@distali_III_left@Bones (Head)@Bones (Legs)@Bones (Tail)@Ethmoidal Cells (Bone)@Thorax@Carpalia_Metacarpalia_left@Carpalia_Metacarpalia_right@Hyoideum@Ossa_Coxae@Ossa_coxae@Os_Coxae@Os_coxae@Patella_left@Patella_right@foot_left@foot_right@Vertebra_cortical_C1@Vertebra_cortical_C2@Vertebra_cortical_C3@Vertebra_cortical_C4@Vertebra_cortical_C5@Vertebra_cortical_C6@Vertebra_cortical_C7@Vertebra_cortical_T1@Vertebra_cortical_T2@Vertebra_cortical_T3@Vertebra_cortical_T4@Vertebra_cortical_T5@Vertebra_cortical_T6@Vertebra_cortical_T7@Vertebra_cortical_T8@Vertebra_cortical_T9@Vertebra_cortical_T10@Vertebra_cortical_T11@Vertebra_cortical_T12@Vertebra_cortical_L1@Vertebra_cortical_L2@Vertebra_cortical_L3@Vertebra_cortical_L4@Vertebra_cortical_L5@Vertebra_cortical_os_sacrum_coccyx@Hand_right@Hand_left@ Hyoid Bone@ Metatarsus_I_cortical_right@Metatarsus_I_cortical_left@Metatarsus_II_cortical_right@Metatarsus_II_cortical_left@Metatarsus_III_cortical_right@Metatarsus_III_cortical_left@Metatarsus_IV_cortical_right@Metatarsus_IV_cortical_left@Metatarsus_V_cortical_right@Metatarsus_V_cortical_left@Phalanx_proximalis_I_cortical_foot_left@Phalanx_proximalis_I_cortical_foot_right@Phalanx_proximalis_II_cortical_foot_left@Phalanx_proximalis_II_cortical_foot_right@Phalanx_proximalis_III_cortical_foot_left@Phalanx_proximalis_III_cortical_foot_right@Phalanx_proximalis_IV_cortical_foot_left@Phalanx_proximalis_IV_cortical_foot_right@Phalanx_proximalis_V_cortical_foot_left@Phalanx_proximalis_V_cortical_foot_right@Phalanx_media_II_cortical_foot_left@Phalanx_media_II_cortical_foot_right@Phalanx_media_III_cortical_foot_left@Phalanx_media_III_cortical_foot_right@Phalanx_media_IV_cortical_foot_left@Phalanx_media_IV_cortical_foot_right@Phalanx_media_V_cortical_foot_left@Phalanx_media_V_cortical_foot_right@Phalanx_distalis_I_cortical_foot_left@Phalanx_distalis_I_cortical_foot_right@Phalanx_distalis_II_cortical_foot_left@Phalanx_distalis_II_cortical_foot_right@Phalanx_distalis_III_cortical_foot_left@Phalanx_distalis_III_cortical_foot_right@Phalanx_distalis_IV_cortical_foot_left@Phalanx_distalis_IV_cortical_foot_right@Phalanx_distalis_V_cortical_foot_left@Phalanx_distalis_V_cortical_foot_right@Thorax_cortical@Carpalia_Metacarpalia_cortical_right@Teeth (Bone Cortical)@Carpalia_Metacarpalia_cortical_left@Skull_cortical@Skull - Inner Table@Skull - Outer Table@Skull Outer Table @Skull Inner Table@Skull@Vertebra_cortical_L6@Vertebra_cortical_L7@Vertebra_cortical_tail_1@Vertebra_cortical_tail_2@Vertebra_cortical_tail_3@Vertebra_cortical_tail_4@Vertebra_cortical_tail_5@Vertebra_cortical_tail_6@Vertebra_cortical_tail_7@Vertebra_cortical_tail_8@Vertebra_cortical_tail_9@Vertebra_cortical_tail_10@Vertebra_cortical_tail_11@Vertebra_cortical_tail_12@Vertebra_cortical_tail_13@Vertebra_cortical_tail_14@Vertebra_cortical_tail_15Vertebra_cortical_tail_16@Carpal_bones_cortical_left@Carpal_bones_cortical_right@Clavicle_cortical_left@Clavicle_cortical_right@Metacarpal_bones_cortical_left@Metacarpal_bones_cortical_right@Metatarsal_bones_cortical_left@Metatarsal_bones_cortical_right@Rib_1_cortical_left@Rib_1_cortical_right@Rib_2_cortical_left@Rib_2_cortical_right@Rib_3_cortical_left@Rib_3_cortical_right@Rib_4_cortical_left@Rib_4_cortical_right@Rib_5_cortical_left@Rib_5_cortical_right@Rib_6_cortical_left@Rib_6_cortical_right@Rib_7_cortical_left@Rib_7_cortical_right@Rib_8_cortical_left@Rib_8_cortical_right@Rib_9_cortical_left@Rib_9_cortical_right@Rib_10_cortical_left@Rib_10_cortical_right@Rib_11_cortical_left@Rib_11_cortical_right@Rib_12_cortical_left@Rib_12_cortical_right@Scapula_cortical_left@Scapula_cortical_right@Tarsal_bones_cortical_left@Tarsal_bones_cortical_right@Vertebrae_cortical@Bones_(cortical)@Rib_and_vertebrae(cortical)@Vertebra_cortical_tail_15@Vertebra_cortical_tail_16@Foot_back_cortical_left@Foot_back_cortical_right@Foot_front_cortical_left@Foot_front_cortical_right@Vertebrae_cortical_caudal_1@Vertebrae_cortical_caudal_2@Vertebrae_cortical_caudal_3@Vertebrae_cortical_cervical@Vertebrae_cortical_lumbar_sacral@Vertebrae_cortical_thoracic	Bone (Cortical)	0.006301997	0.003380654	6	0.001851852	0.0091	0.001851852		5	0.001851852	0.001851852	0.005882353		5	0.005882353	0.005882353						0	1	3514.857143	420.3441787	21	2660	4200			0			54.553	1			0					0					0					0		
