,lambda,mu_a_water,mu_a_skull
0,200.0,0.069,6.9
1,225.0,0.0274,2.74
2,250.0,0.0168,1.68
3,275.0,0.0107,1.0699999999999998
4,300.0,0.0067,0.67
5,325.0,0.00418,0.418
6,350.0,0.00233,0.233
7,375.0,0.00117,0.117
8,400.0,0.00058,0.058
9,425.0,0.00038,0.038
10,450.0,0.00028,0.027999999999999997
11,475.0,0.000247,0.0247
12,500.0,0.00025,0.025
13,525.0,0.00032,0.032
14,550.0,0.00045,0.045
15,575.0,0.00079,0.079
16,600.0,0.0023,0.22999999999999998
17,625.0,0.0028,0.27999999999999997
18,650.0,0.0032,0.32
19,675.0,0.00415,0.415
20,700.0,0.006,0.6
21,725.0,0.0159,1.59
22,750.0,0.026,2.6
23,775.0,0.024,2.4
24,800.0,0.02,2.0
25,810.0,0.019858,1.9858
26,820.0,0.023907,2.3907000000000003
27,825.0,0.028,2.8000000000000003
28,830.0,0.029069,2.9069000000000003
29,840.0,0.034707,3.4707000000000003
30,850.0,0.043,4.3
31,860.0,0.046759,4.6759
32,870.0,0.051999,5.1998999999999995
33,875.0,0.056,5.6000000000000005
34,880.0,0.055978,5.5978
35,890.0,0.060432,6.0432
36,900.0,0.068,6.800000000000001
37,910.0,0.072913,7.291300000000001
38,920.0,0.10927,10.927000000000001
39,925.0,0.144,14.399999999999999
40,930.0,0.17296,17.296
41,940.0,0.26737,26.737
42,950.0,0.39,39.0
43,960.0,0.42,4.2
44,970.0,0.45,4.5
45,975.0,0.45,4.5
46,980.0,0.43,4.3
47,990.0,0.41,4.1
48,1000.0,0.36,3.5999999999999996
49,1020.0,0.27,2.7
50,1040.0,0.16,1.6
51,1060.0,0.12,1.2
52,1080.0,0.13,1.3
53,1100.0,0.17,1.7000000000000002
54,1120.0,0.52,5.2
55,1140.0,0.66,6.6000000000000005
56,1160.0,0.89,8.9
57,1180.0,1.04,10.4
58,1200.0,1.04,10.4
59,1220.0,0.95,9.5
60,1240.0,0.88,8.8
61,1260.0,0.89,8.9
62,1280.0,0.98,9.8
63,1300.0,1.11,11.100000000000001
64,1320.0,1.38,13.799999999999999
65,1340.0,1.83,18.3
66,1360.0,2.77,27.7
67,1380.0,6.1,61.0
68,1400.0,12.39,123.9
69,1420.0,22.12,6.636
